Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,PK,PKatt,Year,Team,xG,xGA
2019-10-09,20:45,Friendlies (M),Friendlies (M),Wed,Home,D,2,2,ar Argentina,,45197.0,Joshua Kimmich,4-2-3-1,Clément Turpin,Match Report,,,,,,,0,0,2019,Germany,,
2018-09-06,20:45,UEFA Nations League,League A,Thu,Home,D,0,0,fr France,,67485.0,Manuel Neuer,4-2-3-1,Daniele Orsato,Match Report,,,,,,,0,0,2018-2019,Germany,,
2018-10-13,20:45,UEFA Nations League,League A,Sat,Away,L,0,3,nl Netherlands,,52536.0,Manuel Neuer,4-1-4-1,Cüneyt Çakιr,Match Report,,,,,,,0,0,2018-2019,Germany,,
2018-10-16,20:45,UEFA Nations League,League A,Tue,Away,L,1,2,fr France,,75000.0,Manuel Neuer,4-4-2,Danilo Grujić,Match Report,,,,,,,1,1,2018-2019,Germany,,
2018-11-19,20:45,UEFA Nations League,League A,Mon,Home,D,2,2,nl Netherlands,,42186.0,Manuel Neuer,3-4-3,Ovidiu Hațegan,Match Report,,,,,,,0,0,2018-2019,Germany,,
2016-09-04,20:45,WCQ,First round,Sun,Away,W,3,0,no Norway,,26793.0,Manuel Neuer,3-4-3,William Collum,Match Report,,,,,,,0,0,2018,Germany,,
2016-10-08,20:45,WCQ,First round,Sat,Home,W,3,0,cz Czechia,,51299.0,Manuel Neuer,4-4-1-1,Ovidiu Hațegan,Match Report,,,,,,,0,0,2018,Germany,,
2016-10-11,20:45,WCQ,First round,Tue,Home,W,2,0,nir Northern Ireland,,42132.0,Manuel Neuer,4-2-3-1,Paolo Tagliavento,Match Report,,,,,,,0,0,2018,Germany,,
2016-11-11,20:45,WCQ,First round,Fri,Away,W,8,0,sm San Marino,,3851.0,Sami Khedira,4-2-3-1,Artyom Kuchin,Match Report,,,,,,,0,0,2018,Germany,,
2017-03-26,20:00,WCQ,First round,Sun,Away,W,4,1,az Azerbaijan,,30000.0,Sami Khedira,4-2-3-1,Daniele Orsato,Match Report,,,,,,,0,0,2018,Germany,,
2017-06-10,20:45,WCQ,First round,Sat,Home,W,7,0,sm San Marino,,32467.0,Julian Draxler,3-3-2-2,Radu Petrescu,Match Report,,,,,,,0,0,2018,Germany,,
2017-09-01,20:45,WCQ,First round,Fri,Away,W,2,1,cz Czechia,,20000.0,Thomas Müller,3-3-3-1,Sergey Karasev,Match Report,,,,,,,0,0,2018,Germany,,
2017-09-04,20:45,WCQ,First round,Mon,Home,W,6,0,no Norway,,53840.0,Thomas Müller,4-2-3-1,Gediminas Mažeika,Match Report,,,,,,,0,0,2018,Germany,,
2017-10-05,19:45,WCQ,First round,Thu,Away,W,3,1,nir Northern Ireland,,18104.0,Thomas Müller,4-2-3-1,Danny Makkelie,Match Report,,,,,,,0,0,2018,Germany,,
2017-10-08,20:45,WCQ,First round,Sun,Home,W,5,1,az Azerbaijan,,34613.0,Thomas Müller,3-3-3-1,Andris Treimanis,Match Report,,,,,,,0,0,2018,Germany,,
2018-03-23,20:45,Friendlies (M),Friendlies (M),Fri,Home,D,1,1,es Spain,,50653.0,Thomas Müller,4-2-3-1,William Collum,Match Report,,,,,,,0,0,2018,Germany,,
2018-03-27,20:45,Friendlies (M),Friendlies (M),Tue,Home,L,0,1,br Brazil,,72717.0,Jérôme Boateng,4-2-3-1,Jonas Eriksson,Match Report,,,,,,,0,0,2018,Germany,,
2018-06-02,19:40,Friendlies (M),Friendlies (M),Sat,Away,L,1,2,at Austria,,30000.0,Manuel Neuer,4-2-3-1,Pavel Královec,Match Report,,,,,,,0,0,2018,Germany,,
2018-06-08,19:30,Friendlies (M),Friendlies (M),Fri,Home,W,2,1,sa Saudi Arabia,,30210.0,Manuel Neuer,4-2-3-1,Slavko Vinčič,Match Report,,,,,,,0,0,2018,Germany,,
2018-06-17,18:00,World Cup,Group stage,Sun,Neutral,L,0,1,mx Mexico,66.0,78011.0,Manuel Neuer,4-2-3-1,Alireza Faghani,Match Report,,26.0,9.0,34.6,0.0,0.0,0,0,2018,Germany,1.4,1.3
2018-06-23,21:00,World Cup,Group stage,Sat,Neutral,W,2,1,se Sweden,75.0,44287.0,Manuel Neuer,4-2-3-1,Szymon Marciniak,Match Report,,18.0,6.0,33.3,0.11,0.33,0,0,2018,Germany,1.4,0.9
